title,description,label,priority
"Add Redis caching layer","Improve performance for frequently accessed endpoints.","Backend","High"
"Create CI pipeline for mobile app","Automate build & test for Android and iOS.","DevOps","Medium"
"Improve GraphQL schema","Add missing types and refactor nested fields.","Backend","Low"
"Fix UI overflow issue","Content scrolls horizontally on smaller screens.","Frontend","Low"
"Enable S3 multipart upload","Support large file uploads more efficiently.","Backend","Medium"
"Add role-based dashboards","Different roles see different dashboard widgets.","Feature","High"
"Fix Kafka offset handling","Prevent double-processing messages due to mismanaged offsets.","Backend","High"
"Optimize React state usage","Reduce unnecessary re-renders using memo and callback.","Frontend","Low"
"Add dependency vulnerability scanning","Enable automated scanning using Snyk.","Security","Low"
"Implement API versioning","Support /v1 and /v2 endpoints for backward compatibility.","Backend","Medium"
"Fix Postgres slow query","Optimize indexes and update query execution plan.","Database","High"
"Create onboarding tutorial modal","Show interactive steps for first-time users.","Frontend","Low"
"Add user impersonation","Admins can impersonate users for debugging.","Feature","Medium"
"Fix Docker compose networking","Services cannot reach each other due to wrong network name.","DevOps","Low"
"Enable HTTP/2 support","Improve latency by enabling HTTP/2 on load balancer.","DevOps","Low"
"Add Stripe subscription billing","Enable recurring payments for premium features.","Feature","High"
"Fix timezone conversion bug","Times appear one day off in specific timezones.","Backend","Medium"
"Optimize NodeJS memory usage","Reduce memory leaks in long-lived API processes.","Backend","High"
"Improve error boundary handling","Catch more frontend rendering errors.","Frontend","Low"
"Add cross-region replication","Enable S3 replication for disaster recovery.","DevOps","High"
"Fix CSS z-index issue","Dropdown hidden behind modal due to wrong stacking order.","Frontend","Low"
"Add waffle chart widget","New data visualization component for analytics dashboard.","Frontend","Low"
"Implement GitHub OAuth","Allow authentication using GitHub accounts.","Feature","Low"
"Improve encryption for secrets","Use AWS KMS instead of plain environment variables.","Security","High"
"Fix MySQL deadlock issue","Resolve frequent deadlocks by redesigning transaction flow.","Database","High"
"Add task history tracking","Track edits, deletions, and status changes.","Feature","Medium"
"Improve JWT cookie security","Enable HttpOnly + Secure + SameSite flags.","Security","High"
"Fix iOS push notifications","Silent notifications not delivered on iOS 16.","Mobile","High"
"Create service degradation alerts","Notify team when service response times exceed threshold.","DevOps","Medium"
"Fix Webpack asset hashing","Cache not invalidated properly after deployment.","Frontend","Low"
"Add Kanban board view","Provide drag-and-drop task management board.","Feature","High"
"Optimize image CDN settings","Tune cache-control and transformation rules.","DevOps","Low"
"Fix Postgres connection leak","Connections not released after queries in pool.","Database","High"
"Add dark/light theme auto-switch","Sync theme with system settings.","Frontend","Low"
"Implement circuit breaker pattern","Stop calling failing service automatically.","Backend","High"
"Fix Android splash screen issue","App freezes during splash due to async init.","Mobile","Medium"
"Rewrite reporting module","Legacy code causes slow performance and bugs.","Backend","Medium"
"Add Elasticsearch logs indexing","Enable full-text log search for debugging.","DevOps","Medium"
"Fix drag and drop snapping","Items snap incorrectly due to wrong bounding calculation.","Frontend","Low"
"Improve TypeScript type coverage","Migrate JS files to TS.","Frontend","Medium"
"Implement audit event streaming","Send key events to Kafka for processing.","Backend","Medium"
"Add calendar integration","Sync tasks to Google Calendar.","Feature","Low"
"Fix PDF printing alignment","Margins incorrect on different printers.","Feature","Low"
"Enhance security headers","Enable CSP, HSTS, Frame-Options, etc.","Security","High"
"Add activity summary emails","Send weekly summary of tasks to users.","Feature","Low"
"Fix Redis cluster failover","Primary not switching correctly when node fails.","Backend","High"
"Create internal admin console","Allow internal team to manage accounts, tasks, and logs.","Feature","High"
"Fix browser autofill issues","Incorrect fields filled on signup form.","Frontend","Low"
"Improve network error handling","Show better fallback UI when offline.","Frontend","Medium"
"Implement horizontal autoscaling","Scale based on queue size and CPU usage.","DevOps","High"
"Fix mobile gesture issue","Swipe gestures conflict with scrolling.","Mobile","Medium"
"Add backend batching","Batch database writes to improve throughput.","Backend","Medium"
"Fix C# SDK bugs","Generated SDK has wrong types in several endpoints.","Backend","Low"
"Improve Terraform state management","Migrate state backend to S3 + DynamoDB.","DevOps","High"
"Fix Firebase token refresh","Mobile app logs out unexpectedly.","Mobile","High"
"Add webhook retry mechanism","Retry failed webhooks with exponential backoff.","Backend","Medium"
"Improve session persistence","Reduce logout frequency by adjusting config.","Backend","Low"
"Fix UI skeleton shimmer","Animation not playing smoothly.","Frontend","Low"
"Add cron job monitoring","Track failures and overdue tasks.","DevOps","High"
"Fix missing indexes","Database slow due to missing foreign key indexes.","Database","High"
"Implement global search","Search tasks, users, comments in one place.","Feature","High"
"Optimize S3 cost structure","Move logs to Glacier and reduce storage cost.","DevOps","Low"
"Fix GraphQL N+1 queries","Optimize schema resolvers to prevent extra queries.","Backend","High"
"Improve Kotlin coroutine handling","Fix job cancellation leaks in mobile app.","Mobile","High"
"Add continuous profiling","Use tools like Pyroscope for performance analysis.","DevOps","Low"
"Fix CORS preflight requests","OPTIONS requests returning 500.","Backend","Medium"
"Add SVG icon library","Replace PNG icons with scalable SVGs.","Frontend","Low"
"Improve load generation scripts","Simulate beta user patterns more realistically.","Testing","Low"
"Fix notification duplication","Notifications sent multiple times due to race condition.","Backend","High"
"Add domain event system","Trigger domain events for critical task lifecycle actions.","Backend","Medium"
"Improve runtime validation","Add strict validation for API inputs.","Backend","Low"
"Fix React hydration mismatch","SSR output differs from client render.","Frontend","Medium"
"Implement global maintenance mode","Show maintenance page during deployments.","DevOps","Low"
"Fix integration test isolation","Tests interfere due to shared database.","Testing","Medium"
"Add priority color coding","Visually differentiate high/medium/low priority tasks.","Frontend","Low"
"Optimize serverless cost","Reduce Lambda execution time.","DevOps","Medium"
"Fix MDX rendering issue","Broken styles when rendering documentation pages.","Frontend","Low"
"Add Microsoft login","Enable OAuth login with Microsoft accounts.","Feature","Low"
"Fix MongoDB aggregation error","Pipeline fails due to incompatible type.","Database","Medium"
"Improve bundle caching","Rebuilds slow due to missing persistent caching.","Frontend","Low"
"Add Redis stream processor","Implement consumer group for log ingestion.","Backend","Medium"
"Enhance SQL migration checks","Prevent breaking migrations from deploying.","Backend","High"
"Fix load balancer health check","Wrong path causing service to scale down.","DevOps","High"
"Add database connection throttling","Prevent overflow of connection pool.","Database","Medium"
"Improve crash analytics","Enhance mobile error collection.","Mobile","Medium"
"Fix cookie domain issue","Cookies not shared across subdomains.","Backend","Low"
"Add mobile theme support","Sync theme across devices.","Mobile","Low"
"Fix Vue build warnings","Unused components cause build failures.","Frontend","Low"
"Implement freeze mode","Disable task editing during maintenance.","Feature","Medium"
"Fix slow JSON serialization","Optimize large response serialization.","Backend","Medium"
"Add server event logs viewer","Admin can view server logs in dashboard.","Feature","Low"
"Fix Go microservice panic","Service panics when reading nil pointer.","Backend","High"
"Improve Ansible playbooks","Clean up tasks and add handlers.","DevOps","Low"
"Add push-to-deploy feature","Deploy directly from Git commit.","DevOps","Medium"
"Fix dark mode color mismatch","Text not readable in dark mode.","Frontend","Low"
"Add security checklist","Ensure password rules and auth flow secure.","Security","Medium"
"Fix PostgreSQL connection pool exhaustion","Requests time out under load.","Database","High"
"Improve Swift UIKit performance","View rendering slow in older devices.","Mobile","Low"
"Fix Node memory heap usage","Increase memory limit and fix leaks.","Backend","High"
"Add dashboard filters","Filter dashboard by date, user, priority.","Frontend","Low"
"Implement granular audit logs","Log field-level changes.","Security","High"
"Fix async bug in Python worker","Tasks executed in wrong order.","Backend","High"
"Add CI for database migrations","Run migrations in isolated test DB.","DevOps","Medium"
"Improve concurrency lock","Prevent deadlocks in distributed locking.","Backend","High"
"Fix image orientation bug","Uploaded images rotate incorrectly.","Frontend","Medium"
"Add subscription usage limits","Restrict usage based on plan.","Feature","Medium"
"Fix load-balancer sticky sessions","Users logged out randomly.","DevOps","Low"
"Add scroll restoration","Remember scroll position when navigating.","Frontend","Low"
"Fix mobile tab switch lag","Tabs feel unresponsive.","Mobile","Medium"
"Improve Kafka schema evolution","Support backward-compatible schema changes.","Backend","Medium"
"Add tagging system for tasks","Users can add custom tags.","Feature","Low"
"Fix service discovery in Kubernetes","Pods not detected due to wrong label selector.","DevOps","High"
"Implement server-side rendering","Improve SEO by rendering pages server-side.","Frontend","High"
"Fix mTLS handshake issue","Services reject connections due to cert mismatch.","Security","High"
"Add webhook logs viewer","Show webhook delivery logs.","Feature","Low"
"Improve retry policy","Reduce redundant retries that overload service.","Backend","Low"
"Fix incorrect breadcrumbs","Navigation path displays wrong hierarchy.","Frontend","Low"
"Add translation support","Enable i18n for multiple languages.","Frontend","Medium"
"Fix event duplication in event bus","Event published twice under load.","Backend","High"
"Improve protobuf definitions","Clean up proto files and versioning.","Backend","Low"
"Fix navigation focus bug","Keyboard navigation breaks after search.","Frontend","Low"
"Add mobile biometric auth","Use FaceID / Fingerprint login.","Mobile","Medium"
"Improve API gateway mapping","Fix path rewrite issues.","Backend","Medium"
"Add anomaly detection alerts","Detect unusual spikes in traffic.","DevOps","High"
"Fix Lambda warm-up function","Warm-up not preventing cold starts.","Backend","Medium"
"Add custom dashboards","Allow users to build their own dashboard layouts.","Feature","Low"
"Fix timezone dropdown issue","Incorrect list shown for some regions.","Frontend","Low"
"Improve UX for long forms","Split forms into multiple steps.","Frontend","Low"
"Add resource tagging policy","Tag all cloud resources consistently.","DevOps","Low"
"Fix React modal unmount issue","Modal content remains in DOM after close.","Frontend","Low"
"Implement JWT blacklist","Blacklist tokens after logout.","Security","Medium"
"Fix notification badge count","Badge number not synced with server.","Frontend","Low"
"Improve Dart isolates usage","Reduce UI blocking in Flutter app.","Mobile","Low"
"Fix API token refresh","Expired tokens not refreshed correctly causing 401 errors.","Backend","High"
"Add user feedback form","Collect user feedback directly in the app.","Frontend","Low"
"Optimize SQL joins","Improve query performance by rewriting joins and adding indexes.","Database","High"
"Fix mobile layout issue","Buttons overlap on small screens under 320px.","Frontend","Low"
"Implement password reset via email","Send secure token links for resetting passwords.","Security","High"
"Add GraphQL subscription support","Enable real-time updates via subscriptions.","Backend","Medium"
"Fix image lazy load","Images not appearing when scrolling fast.","Frontend","Low"
"Implement API rate limiter","Throttle requests per IP to prevent abuse.","Security","High"
"Add Kubernetes HPA","Autoscale pods based on CPU and memory usage.","DevOps","Medium"
"Fix WebSocket message ordering","Messages delivered out-of-order under high load.","Backend","High"
"Improve JS bundle size","Remove unused dependencies and optimize code splitting.","Frontend","Medium"
"Add Sentry error reporting","Capture frontend errors with Sentry.","Frontend","Low"
"Fix email encoding issue","Special characters break email content.","Backend","Medium"
"Implement task dependency visualization","Show graph of dependent tasks in UI.","Frontend","Low"
"Add API caching headers","Enable browser and CDN caching for static responses.","Backend","Medium"
"Fix memory leak in Node worker","Long-running workers consume too much memory.","Backend","High"
"Improve mobile gesture recognition","Swipe and pinch gestures now smoother.","Mobile","Medium"
"Add feature flag for beta users","Enable new features only for beta testers.","Feature","Low"
"Fix duplicate user creation","Concurrent registration creates duplicate accounts.","Backend","High"
"Implement daily digest emails","Send summary emails of tasks and activities.","Feature","Medium"
"Add custom form validations","Validate phone numbers, emails, and ZIP codes.","Frontend","Low"
"Fix CSS flexbox wrapping","Elements overlap when container resizes.","Frontend","Low"
"Add server-side logging enhancement","Include request IDs and session info in logs.","Backend","Medium"
"Implement multi-factor authentication","Require OTP in addition to password for login.","Security","High"
"Fix React Router redirect issue","Redirect loop when accessing protected routes.","Frontend","Medium"
"Add performance metrics dashboard","Visualize API latency and request counts.","DevOps","Medium"
"Fix Kubernetes rolling update","Deployment does not update all pods correctly.","DevOps","High"
"Improve Terraform modules","Make modules reusable with variables and outputs.","DevOps","Low"
"Add S3 bucket policy audit","Check bucket permissions automatically.","Security","High"
"Fix CSV export encoding","Special characters get corrupted in CSV downloads.","Backend","Medium"
"Implement search autocomplete","Show suggestions as users type in search box.","Frontend","Low"
"Add notification preferences","Users can choose which notifications to receive.","Feature","Low"
"Fix GraphQL error masking","Backend errors incorrectly exposed to clients.","Backend","High"
"Improve mobile offline handling","Cache data for offline usage in mobile app.","Mobile","Medium"
"Add email verification","Send verification emails on registration.","Security","High"
"Fix Docker image size","Reduce image size by cleaning cache and dependencies.","DevOps","Medium"
"Implement caching for frequent queries","Use Redis to cache expensive queries.","Backend","High"
"Add task labeling system","Users can categorize tasks with labels.","Frontend","Low"
"Fix session timeout issue","Users logged out too early due to wrong config.","Backend","Medium"
"Improve S3 upload performance","Multipart uploads and parallel streams for faster uploads.","DevOps","Medium"
"Add webhook security signature","Validate incoming webhooks using HMAC.","Security","High"
"Fix mobile push notification delay","Notifications arrive late due to throttling.","Mobile","Medium"
"Implement recurring tasks","Support daily, weekly, monthly recurring tasks.","Feature","High"
"Add analytics event tracking","Track user actions for metrics and reporting.","Frontend","Medium"
"Fix GraphQL resolver bugs","Incorrect data returned in nested queries.","Backend","High"
"Improve CI pipeline reliability","Retry failed jobs and fix flaky tests.","DevOps","Medium"
"Add inline code editor","Allow editing scripts directly in dashboard UI.","Frontend","Low"
"Fix date picker timezone bug","Dates shifted incorrectly in certain timezones.","Frontend","Medium"
"Implement serverless monitoring","Use CloudWatch and custom metrics for Lambda.","DevOps","High"
"Add React context for theme","Centralize theme state using context API.","Frontend","Low"
"Fix file download headers","Downloaded files have wrong content type.","Backend","Medium"
"Improve Python worker concurrency","Handle more tasks in parallel efficiently.","Backend","High"
"Add account activity logs","Track login, logout, and important changes.","Security","Medium"
"Fix frontend routing for SPA","Links break when refreshing nested paths.","Frontend","Low"
"Implement task reminder notifications","Send push or email reminders for due tasks.","Feature","Medium"
"Add webhook testing environment","Simulate webhook events without touching prod.","DevOps","Low"
"Fix iOS keyboard overlap","Keyboard covers input fields on iOS devices.","Mobile","Medium"
"Improve error messages","Provide clear and actionable error messages in UI.","Frontend","Low"
"Add Slack integration","Send task updates to Slack channels.","Feature","Medium"
"Fix memory leaks in React components","Components not unmounting properly.","Frontend","Medium"
"Implement server-side task validation","Prevent invalid data before saving to DB.","Backend","High"
"Add database indexing automation","Create indexes automatically for slow queries.","Database","High"
"Fix CORS issue on staging","Frontend blocked from accessing API endpoints.","Backend","Medium"
"Improve webpack caching","Reduce rebuild times by caching dependencies.","Frontend","Medium"
"Add custom user roles","Define granular roles with specific permissions.","Security","High"
"Fix Lambda environment variable issue","Variables missing in some deployments.","Backend","Medium"
"Implement task dependency notifications","Notify when dependent tasks are complete.","Feature","Medium"
"Add user activity heatmap","Visualize active hours of users in dashboard.","Frontend","Low"
"Fix Redux state immutability","Avoid direct mutation of state causing bugs.","Frontend","Medium"
"Improve database backup strategy","Encrypt backups and rotate retention policy.","Database","High"
"Add API request logging","Log all incoming requests for audit purposes.","Backend","Medium"
"Fix mobile scroll snapping","Lists do not scroll correctly on mobile.","Mobile","Medium"
"Implement server-side rendering for SEO","Improve search engine discoverability.","Frontend","High"
"Add TypeScript type coverage","Convert JS files to TypeScript for better type safety.","Frontend","Medium"
"Fix webpack asset hashing","Cache not invalidated correctly on deployment.","Frontend","Medium"
"Improve Kafka consumer resiliency","Recover from temporary broker failures automatically.","Backend","High"
"Add internationalization support","Translate UI and messages into multiple languages.","Frontend","Low"
"Fix GraphQL authentication bug","Unauthorized access to restricted data.","Backend","High"
"Implement feature flags for backend","Enable/disable backend features dynamically.","Backend","Medium"
"Add team collaboration comments","Users can comment and mention team members.","Feature","Medium"
"Fix mobile layout scroll bug","Content cut off in landscape mode.","Mobile","Low"
"Improve CI test coverage","Add more unit and integration tests.","Testing","Medium"
"Add Redis cache invalidation","Expire cached items when updated in DB.","Backend","High"
"Fix AWS IAM role permission","Lambda functions cannot access required resources.","DevOps","High"
"Implement SSO login","Single sign-on with corporate accounts.","Security","High"
"Add audit trail for changes","Track changes to tasks and users.","Security","Medium"
"Fix Java heap size issue","Increase heap to prevent OOM errors.","Backend","High"
"Improve mobile image caching","Reduce image loading time on slow networks.","Mobile","Medium"
"Add task priority colors","Highlight tasks based on priority.","Frontend","Low"
"Fix database migration rollback","Rolling back migrations fails in some cases.","Database","High"
"Implement async batch processing","Queue and process tasks asynchronously in batches.","Backend","Medium"
"Add test environment seeding","Seed test database automatically for integration tests.","Testing","Low"
"Fix layout shift in dashboard","Dashboard widgets jump on load due to font loading.","Frontend","Low"
"Improve API error handling","Return consistent error responses for all endpoints.","Backend","Medium"
"Add recurring invoice generation","Generate invoices automatically for recurring subscriptions.","Feature","High"
"Fix session persistence on mobile","Users get logged out frequently on mobile app.","Mobile","Medium"
"Implement webhook verification","Check signature of incoming webhook events.","Security","High"
"Add CI code linting","Run linting on all pull requests.","DevOps","Low"
"Fix React key warnings","Lists missing unique keys causing warning logs.","Frontend","Low"
"Improve frontend accessibility","Ensure WCAG compliance and ARIA roles.","Frontend","Medium"
"Add AWS Lambda monitoring","Custom metrics for all critical Lambda functions.","DevOps","High"
"Fix date formatting inconsistencies","Dates appear differently in backend and frontend.","Backend","Medium"
"Implement automated regression tests","Run regression suite on CI pipelines.","Testing","Medium"
"Add file versioning for uploads","Keep track of file versions in S3.","Backend","Medium"
"Fix memory leaks in Vue components","Components do not release memory after unmount.","Frontend","Medium"
"Improve mobile offline sync","Synchronize local changes when back online.","Mobile","Medium"
"Add user onboarding progress","Show progress bar for new user setup.","Frontend","Low"
"Fix SQL deadlocks in production","Transactions conflict causing errors.","Database","High"
"Implement advanced task filters","Filter tasks by multiple criteria in dashboard.","Frontend","Medium"
"Add API key rotation","Rotate API keys regularly for security.","Security","High"
"Fix HTTP 429 handling","Properly retry after rate limit exceeded.","Backend","Medium"
"Improve Terraform deployment speed","Parallelize resource creation and reduce drift.","DevOps","Medium"
"Fix critical payment error","System crash during payment process. Backend issue.","Backend","Critical"
"Critical security fix","Database injection vulnerability found in payment API.","Security","Critical"
"Fix backend logic","Calculation error in order total. Fix logic in Service layer.","Backend","High"
"Urgent server crash","Production server is down due to memory leak.","DevOps","Critical"
"Fix API timeout","Payment API takes too long to respond. Optimization needed.","Backend","High"
"Fix critical payment calculation","Logic error in calculating total amount. Fix backend service immediately.","Backend","Critical"
"Fix security vulnerability in API","SQL Injection found in login endpoint. Fix ASAP.","Security","Critical"
"Fix database connection leak","Connection pool is full causing timeouts. Fix database config.","Database","Critical"
"Fix memory leak in backend","Server crashes after 24h due to memory leak. Fix Java heap space.","Backend","Critical"
"Fix production outage","System is down due to load balancer failure. Fix infra now.","DevOps","Critical"
"Fix slow query in report","Reporting API takes 30s to load. Fix SQL query performance.","Database","High"
"Fix authentication bypass","User can login without password. Fix security hole.","Security","Critical"
"Fix data corruption","User data is saved incorrectly in DB. Fix transaction logic.","Backend","High"
"Critical service failure","Payment gateway is not responding. Fix integration.","Backend","Critical"
"Urgent hotfix for release","Critical bug found in production. Fix immediately for release.","Backend","Critical"
"Emergency server downtime","Production server is down. 503 Service Unavailable. Fix immediately.","DevOps","Critical"
"Critical payment failure","Payment gateway Stripe rejects all cards. Revenue loss.","Backend","Critical"
"Urgent security breach","Hacker exploit found in login API. SQL Injection. Patch now.","Security","Critical"
"System crash on load","CPU spikes to 100% causing system crash. Restart services.","DevOps","Critical"
"Database data loss","User data deleted by mistake. Restore backup urgent.","Database","Critical"
"Critical login outage","Users cannot login. Auth service is down.","Backend","Critical"
"Emergency hotfix","Critical bug in checkout flow. User cannot buy.","Backend","Critical"
"Security alert high","DDOS attack detected on main gateway. Block IP.","Security","Critical"
"Payment service down","API returns 500 for all payments. Money is stuck.","Backend","Critical"
"Critical memory leak","Application crashes every 1 hour due to RAM. Fix leak.","Backend","Critical"
"Emergency server downtime","Production server is down. 503 Service Unavailable. Fix immediately.","DevOps","Critical"
"Critical payment failure","Payment gateway Stripe rejects all cards. Revenue loss.","Backend","Critical"
"Urgent security breach","Hacker exploit found in login API. SQL Injection. Patch now.","Security","Critical"
"System crash on load","CPU spikes to 100% causing system crash. Restart services.","DevOps","Critical"
"Database data loss","User data deleted by mistake. Restore backup urgent.","Database","Critical"
"Critical login outage","Users cannot login. Auth service is down.","Backend","Critical"
"Emergency hotfix","Critical bug in checkout flow. User cannot buy.","Backend","Critical"
"Security alert high","DDOS attack detected on main gateway. Block IP.","Security","Critical"
"Payment service down","API returns 500 for all payments. Money is stuck.","Backend","Critical"
"Critical memory leak","Application crashes every 1 hour due to RAM. Fix leak.","Backend","Critical"
"Security breach detected","Hacker trying to steal data. IP blocked.","Security","Critical"
"Data leak incident","Customer emails leaked on dark web. Emergency investigation.","Security","Critical"
"Database backup failed","Daily backup script error. Risk of data loss.","Database","High"
"Add new table column","Alter schema to add user_age column.","Database","Low"
"Restore DB from snapshot","Recover data from yesterday backup.","Database","High"
